Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Planning Address,APN(s),Supervisor District,Planning Neighborhood,City Analysis Neighborhood,Lead Agency,Program Area,Project Type,Housing Tenure,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,DBI Permit Number,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Recording Number,Recording Date,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,20% AMI,30% AMI,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,120% AMI,150% AMI,Latitude,Longitude,Location
2013-022,(5) First Construction Document Issued,255 Woodside,255,Woodside,Ave,94131,255 WOODSIDE AVE 94131,2842008,7,Twin Peaks,Twin Peaks,MOHCD,RAD Phase 1,Rehabilitation,Rental,11/01/2015,,,04/05/2017,BRIDGE Housing Corporation,Mission Economic Development Agency,"255 Woodside Housing Associates, LP",201503201474,2015-003810PRJ,http://propertymap.sfplanning.org/?search=2015-003810PRJ, ,,,,,109,108,1,99%,0,87,21,0,0,0,0,6,1,1bd,0,108,0,0,0,0,0,108,0,0,0,0,0,0,0,37.7465823866807,-122.455232850595,"(37.7465823866807, -122.455232850595)"
2013-023,(5) First Construction Document Issued,1880 Pine ,1880,Pine,St,94109,1880 PINE ST 94109,0649024,2,Western Addition,Pacific Heights,MOHCD,RAD Phase 1,Rehabilitation,Rental,11/01/2015,,,07/06/2017,Mercy Housing California,John Stewart Company,"1880 Pine Street, LP",201503272042,2015-004135PRJ,http://propertymap.sfplanning.org/?search=2015-004135PRJ, ,,,,,113,112,1,99%,0,97,14,1,0,0,0,6,1,1bd,0,112,0,0,0,0,0,112,0,0,0,0,0,0,0,37.789134381501398,-122.426581849074,"(37.7891343815014, -122.426581849074)"
2013-024,(5) First Construction Document Issued,491 31st,491,31st,Ave,94121,491 31ST AVE 94121,1463053,1,Outer Richmond,Outer Richmond,MOHCD,RAD Phase 1,Rehabilitation,Rental,11/01/2015,,,02/21/2017,John Stewart Company,Japanese American Religious Federation,"491 31st Ave, LP",201503060175,2015-002984PRJ,http://propertymap.sfplanning.org/?search=2015-002984PRJ, ,,,,,75,74,1,99%,0,66,7,1,0,0,0,4,1,1bd,0,74,0,0,0,0,0,74,0,0,0,0,0,0,0,37.780120419210398,-122.491514090935,"(37.7801204192104, -122.491514090935)"
2013-025,(5) First Construction Document Issued,345 Arguello,345,Arguello,Blvd,94118,345 ARGUELLO BLVD 94118,1432049,1,Inner Richmond,Inner Richmond,MOHCD,RAD Phase 1,Rehabilitation,Rental,11/01/2015,,,02/24/2017,Mercy Housing California,,345 Arguello LP,201503272037,2015-004138PRJ,http://propertymap.sfplanning.org/?search=2015-004138PRJ, ,,,,,69,68,1,99%,0,59,9,0,0,0,0,8,1,2bd,0,68,0,0,0,0,0,68,0,0,0,0,0,0,0,37.784214984024104,-122.45946648027299,"(37.7842149840241, -122.459466480273)"
2013-026,(5) First Construction Document Issued,227 Bay,227,Bay,St,94133,227 BAY ST 94133,0040018,3,North Beach,North Beach,MOHCD,RAD Phase 1,Rehabilitation,Rental,11/01/2015,,,05/18/2017,Chinatown Community Development Center,,"Bay Street, LP",201503060182,2015-002980PRJ,http://propertymap.sfplanning.org/?search=2015-002980PRJ, ,,,,,50,49,1,98%,0,47,2,0,0,0,0,3,1,Studio,0,49,0,0,0,0,0,49,0,0,0,0,0,0,0,37.805617626158003,-122.411295811671,"(37.805617626158, -122.411295811671)"
2013-027,(5) First Construction Document Issued,462 Duboce,462,Duboce        ,Ave,94117,345 HERMANN ST 94117,0875023,8,Western Addition,Hayes Valley,MOHCD,RAD Phase 1,Rehabilitation,Rental,11/01/2015,,,01/11/2017,BRIDGE Housing Corporation,Mission Economic Development Agency,"462 Duboce Housing Associates, LP",201504012572,2015-004290PRJ,http://propertymap.sfplanning.org/?search=2015-004290PRJ, ,,,,,42,41,1,98%,0,34,7,0,0,0,0,3,1,1bd,0,41,0,0,0,0,0,41,0,0,0,0,0,0,0,37.769800679684998,-122.43079666892901,"(37.769800679685, -122.430796668929)"
2013-028,(5) First Construction Document Issued,666 Ellis,666,Ellis,St,94109,666 ELLIS ST 94109,0321039,6,Downtown/Civic Center,Tenderloin,MOHCD,RAD Phase 1,Rehabilitation,Rental,11/01/2015,,,11/16/2017,Community Housing Partnership,,"666 Ellis, LP",201503312390,2015-004144PRJ,http://propertymap.sfplanning.org/?search=2015-004144PRJ, ,,,,,99,99,0,100%,0,77,22,0,0,0,0,5,0,,0,99,0,0,0,0,0,99,0,0,0,0,0,0,0,37.784588040785401,-122.41723931532201,"(37.7845880407854, -122.417239315322)"
2013-029,(5) First Construction Document Issued,Hunters Point East / West,90,Kiska,Rd,94124,67 NORTHRIDGE RD 94124,4700041,10,Bayview,Bayview Hunters Point,MOHCD,RAD Phase 1,Rehabilitation,Rental,11/01/2015,,,11/29/2017,San Francisco Housing Development Corporation,John Stewart Company,Hunters Point East West LP,"201511031578, 201511031579, 201511031580, 201511031581, 201511031582, 201511031586, 201511031587, 201511031589, 201511031590, 201511031591, 201511031592, 201511031593, 201511031594, 201511031595, 201511031596, 201511031597, 201511031598, 201511031599, 201511031600, 201511031601, 201511031602, 201511301588",2015-015745PRJ,http://propertymap.sfplanning.org/?search=2015-015745PRJ, ,,,,,213,211,2,99%,0,0,17,121,34,29,10,12,2,"2bd, 3bd",211,0,0,0,0,0,0,211,0,0,0,0,0,0,0,37.730629169044803,-122.377093153422,"(37.7306291690448, -122.377093153422)"
2016-042,(2) Predevelopment Feasibility,Dalt Hotel,34,Turk,St,94102,Not Applicable,0340007,6,Downtown/Civic Center,Tenderloin,MOHCD,Multifamily,Rehabilitation,Rental,,,,,Tenderloin Neighborhood Development Corporation,,Dalt Hotel LP,,Not Applicable,,,,,,,178,178,0,100%,178,0,0,0,0,0,0,24,0,,177,0,0,1,0,0,0,178,0,0,0,0,0,0,0,37.783612633770403,-122.409886357685,"(37.7836126337704, -122.409886357685)"
2013-030,(5) First Construction Document Issued,Holly Courts,100,Appleton,Ave,94110,100 APPLETON AVE 94110,5714001,9,Bernal Heights,Bernal Heights,MOHCD,RAD Phase 1,Rehabilitation,Rental,12/01/2015,,,04/13/2017,BRIDGE Housing Corporation,Bernal Heights Neighborhood Center,"Holly Courts Housing Associates, LP","201504022626, 201504022634, 201504022635, 201504022636, 201504022637, 201504022638, 201504022639, 201504022640, 201504022641, 201504022642",2015-004552PRJ,http://propertymap.sfplanning.org/?search=2015-004552PRJ, ,,,,,118,117,1,99%,0,0,48,59,10,0,0,6,1,2bd,117,0,0,0,0,0,0,117,0,0,0,0,0,0,0,37.737713873577697,-122.422223879086,"(37.7377138735777, -122.422223879086)"
2013-031,(5) First Construction Document Issued,Robert B. Pitts Blk 1 & 2,1150,Scott,St,94102,1150 SCOTT ST 94115,0752001,5,Western Addition,Western Addition,MOHCD,RAD Phase 1,Rehabilitation,Rental,09/21/2015,,,07/17/2017,Related California,Tabernacle Community Development Corp,"Robert Pitts Housing Partners, LP","201504305027, 201504305036, 201504305037, 201504305038, 201504305039, 201504305040, 201504305042, 201504305043, 201504305044, 201504305045, 201504305046, 201504305047, 201504305051, 201504305052, 201504305053, 201504305054, 201504305055, 201504305056, 201504305057, 201504305058, 201504305059, 201505015161, 201505015166, 201505015167",2015-002664PRJ,http://propertymap.sfplanning.org/?search=2015-002664PRJ,2015-002664CUA,04/23/2015,,,,203,201,2,99%,0,0,0,77,112,12,0,11,2,"2bd, 2bd",201,0,0,0,0,0,0,201,0,0,0,0,0,0,0,37.780359252653902,-122.43698254612799,"(37.7803592526539, -122.436982546128)"
2013-032,(5) First Construction Document Issued,25 Sanchez,25,Sanchez,St,94114,25 SANCHEZ ST 94114,3537090,8,Castro/Upper Market,Castro/Upper Market,MOHCD,RAD Phase 1,Rehabilitation,Rental,11/01/2015,,,02/01/2017,BRIDGE Housing Corporation,Mission Economic Development Agency,"25 Sanchez Housing Associates, LP",201503201460,2015-003812PRJ,http://propertymap.sfplanning.org/?search=2015-003812PRJ, ,,,,,90,89,1,99%,0,75,14,0,0,0,0,5,1,1bd,0,89,0,0,0,0,0,89,0,0,0,0,0,0,0,37.768929192054102,-122.430978797861,"(37.7689291920541, -122.430978797861)"
2013-033,(5) First Construction Document Issued,990 Pacific,990,Pacific,Ave,94133,990 PACIFIC AVE 94133,0159044,3,Nob Hill,Chinatown,MOHCD,RAD Phase 1,Rehabilitation,Rental,11/01/2015,,,12/16/2017,Chinatown Community Development Center,,"Pacific Avenue, LP",201504012567,2015-004289PRJ,http://propertymap.sfplanning.org/?search=2015-004289PRJ, ,,,,,92,91,1,99%,0,74,17,0,0,0,0,7,1,1bd,0,91,0,0,0,0,0,91,0,0,0,0,0,0,0,37.796601630065901,-122.41138582825199,"(37.7966016300659, -122.411385828252)"
2013-034,(5) First Construction Document Issued,1760 Bush,1760,Bush,St,94109,1760 BUSH ST 94109,0664031,5,Western Addition,Pacific Heights,MOHCD,RAD Phase 2,Rehabilitation,Rental,11/07/2016,,,01/01/2018,John Stewart Company,Mercy Housing California,"1760 Bush, LP",201510270955,2015-014711PRJ,http://propertymap.sfplanning.org/?search=2015-014711PRJ, ,,,,,108,107,1,99%,0,83,23,1,0,0,0,0,1,1bd,0,107,0,0,0,0,0,107,0,0,0,0,0,0,0,37.788182742335501,-122.426411776431,"(37.7881827423355, -122.426411776431)"
2013-035,(5) First Construction Document Issued,2698 California ,2698,California,St,94115,2698 CALIFORNIA ST 94115,0633006,2,Pacific Heights,Pacific Heights,MOHCD,RAD Phase 2,Rehabilitation,Rental,11/07/2016,,,02/01/2018,Mercy Housing California,John Stewart Company,"2698 California, LP",201510301341,2015-014736PRJ,http://propertymap.sfplanning.org/?search=2015-014736PRJ, ,,,,,40,39,1,98%,0,31,7,1,0,0,0,4,1,1bd,0,39,0,0,0,0,0,39,0,0,0,0,0,0,0,37.7885623287738,-122.438566109786,"(37.7885623287738, -122.438566109786)"
2013-036,(5) First Construction Document Issued,Rosa Parks I,1251,Turk,St,94115,1251 TURK ST 94115,0757028,5,Western Addition,Western Addition,MOHCD,RAD Phase 2,Rehabilitation,Rental,11/07/2016,,,05/01/2018,Tenderloin Neighborhood Development Corporation,,"RP Associates, LP",201511162685,2015-016398PRJ,http://propertymap.sfplanning.org/?search=2015-016398PRJ, ,,,,,203,202,1,100%,0,19,100,83,0,0,0,21,1,1bd,0,202,0,0,0,0,0,202,0,0,0,0,0,0,0,37.780258587077803,-122.429485282226,"(37.7802585870778, -122.429485282226)"
2013-037,(5) First Construction Document Issued,Kennedy Towers,2451,Sacramento,St,94115,2451 SACRAMENTO ST 94115,0636038,2,Pacific Heights,Pacific Heights,MOHCD,RAD Phase 2,Rehabilitation,Rental,11/07/2016,,,06/01/2018,Mercy Housing California,John Stewart Company,"JFK Tower, LP",201509025917,2015-010665PRJ,http://propertymap.sfplanning.org/?search=2015-010665PRJ,2015-010665VAR,,,,,98,97,1,99%,0,76,20,1,0,0,0,0,1,1bd,0,97,0,0,0,0,0,97,0,0,0,0,0,0,0,37.789661002822903,-122.43319450508601,"(37.7896610028229, -122.433194505086)"
2013-038,(5) First Construction Document Issued,1750 McAllister,1750,McAllister,St,94115,1750 MCALLISTER ST 94115,1157007,5,Western Addition,Western Addition,MOHCD,RAD Phase 2,Rehabilitation,Rental,11/07/2016,,,07/01/2018,Community Housing Partnership,,"1750 McAllister, LP",201509025870,2015-012129PRJ,http://propertymap.sfplanning.org/?search=2015-012129PRJ,2015-012129VAR,,,,,97,96,1,99%,0,75,21,0,0,0,0,10,1,2bd,0,96,0,0,0,0,0,96,0,0,0,0,0,0,0,37.777770252880003,-122.44053811126101,"(37.77777025288, -122.440538111261)"
2013-039,(5) First Construction Document Issued,Clementina Towers,320-330,Clementina ,St,94103,320 CLEMENTINA ST 94103,159161-3733 (3 lots),6,South of Market,South of Market,MOHCD,RAD Phase 2,Rehabilitation,Rental,11/07/2016,,,10/01/2018,Tenderloin Neighborhood Development Corporation,,"Clementina Towers Associates, LP",201510301361,2015-011205PRJ,http://propertymap.sfplanning.org/?search=2015-011205PRJ,2015-011205ENV,,,,,276,274,2,99%,0,226,48,0,0,0,0,0,2,"1bd, 1bd",0,274,0,0,0,0,0,274,0,0,0,0,0,0,0,37.782176732512099,-122.40275756654199,"(37.7821767325121, -122.402757566542)"
2013-051,(5) First Construction Document Issued,Transbay Block 8 (Affordable Component),250,Fremont,St,94105,Not Applicable,3737041,6,Financial District,Financial District/South Beach,OCII,Transbay,New Construction,Rental,10/01/2016,,,03/01/2019,Related California,Tenderloin Neighborhood Development Corporation,"T8 Housing Partners, LP",,Not Applicable,,,,,,,80,79,1,99%,0,0,39,16,24,0,0,0,1,1bd,79,0,0,0,0,0,0,79,0,0,0,0,0,0,0,37.788171814507301,-122.39469323662399,"(37.7881718145073, -122.394693236624)"
2013-040,(5) First Construction Document Issued,Westbrook Apartments,40,Harbor,Rd,94124,855 INNES AVE 94124,4700039,10,Bayview,Bayview Hunters Point,MOHCD,RAD Phase 2,Rehabilitation,Rental,11/07/2016,,,11/01/2018,San Francisco Housing Development Corporation,Related California / John Stewart Company,"Westbrook Housing Partners, LP","201511031566, 201511031567, 201511031568, 201511031569, 201511031570, 201511031571, 201511031572, 201511031573, 201511031574, 201511031575, 201511031576, 201511031577, 201511031585",2015-015743PRJ,http://propertymap.sfplanning.org/?search=2015-015743PRJ, ,,,,,223,221,2,99%,0,0,4,57,116,44,0,28,2,"2bd, 2bd",221,0,0,0,0,0,0,221,0,0,0,0,0,0,0,37.7310929979772,-122.375400314202,"(37.7310929979772, -122.375400314202)"
2013-041,(5) First Construction Document Issued,Westside Courts,2501,Sutter,St,94115,1400 BAKER ST 94115,1075001,5,Western Addition,Japantown,MOHCD,RAD Phase 2,Rehabilitation,Rental,11/07/2016,,,11/01/2018,Related California,Tabernacle Community Development Corp,"Westide Courts Housing Partners, LP","201511051898, 201511051899, 201511051900, 201511051901, 201511051902, 201511051905",2015-015999PRJ,http://propertymap.sfplanning.org/?search=2015-015999PRJ, ,,,,,135,134,1,99%,0,0,84,23,19,8,0,0,1,2bd,134,0,0,0,0,0,0,134,0,0,0,0,0,0,0,37.784466425154001,-122.442265761995,"(37.784466425154, -122.442265761995)"
2013-042,(5) First Construction Document Issued,350 Ellis,350,Ellis,St,94102,350 ELLIS ST 94102,0324023,6,Downtown/Civic Center,Tenderloin,MOHCD,RAD Phase 2,Rehabilitation,Rental,11/07/2016,,,03/01/2019,Tenderloin Neighborhood Development Corporation,,"Ellis 350 Associates, LP",2015511182921,2015-009851PRJ,http://propertymap.sfplanning.org/?search=2015-009851PRJ,2015-009851ENV,,,,,96,96,0,100%,0,72,24,0,0,0,0,5,0,,0,96,0,0,0,0,0,96,0,0,0,0,0,0,0,37.785238411232797,-122.41212444913,"(37.7852384112328, -122.41212444913)"
2013-043,(5) First Construction Document Issued,Alemany ,951,Ellsworth,St,94110,938 ELLSWORTH ST 94110,5843007,9,Bernal Heights,Bernal Heights,MOHCD,RAD Phase 2,Rehabilitation,Rental,11/07/2016,08/29/2016,,03/01/2019,Bernal Heights Neighborhood Center,BRIDGE Housing Corporation,"Alemany Housing Associates, LP","201602189871, 201602189878, 201602189879, 201602189880, 201602189881, 201602189882, 201602189890, 201602189891, 201602189892, 201602189893, 201602189894, 201602189895, 201602189896, 201602189897, 201603162236, 201603162239, 201603162248",2015-018080PRJ,http://propertymap.sfplanning.org/?search=2015-018080PRJ,"2015-018080CUA,2015-018080VAR,2016-001269ENV,2016-001269PRJ",,,,,150,148,2,99%,0,0,7,98,41,2,0,0,2,"2bd, 3bd",148,0,0,0,0,0,0,148,0,0,0,0,0,0,0,37.732858726419899,-122.41705419500001,"(37.7328587264199, -122.417054195)"
2013-044,(5) First Construction Document Issued,Mission Dolores,1855,15th,St,94103,1855 15TH ST 94103,3556055,8,Mission,Mission,MOHCD,RAD Phase 2,Rehabilitation,Rental,11/07/2016,,,06/01/2019,BRIDGE Housing Corporation,Mission Economic Development Agency,"Bridge Housing Ventures, Inc, MEDA Housing LLC",201510301342,2015-012300PRJ,http://propertymap.sfplanning.org/?search=2015-012300PRJ,2015-012300ENV,,,,,91,90,1,99%,0,68,22,0,0,0,0,11,1,1bd,0,90,0,0,0,0,0,90,0,0,0,0,0,0,0,37.766017307727701,-122.425573259301,"(37.7660173077277, -122.425573259301)"
2013-045,(5) First Construction Document Issued,Ping Yuen North,848-856,Pacific,Ave,94133,838 PACIFIC AVE 94133,0160030,3,Chinatown,Chinatown,MOHCD,RAD Phase 2,Rehabilitation,Rental,11/30/2016,,,06/01/2019,Chinatown Community Development Center,,"North Ping Yuen, LP",201510190132,2015-011574PRJ,http://propertymap.sfplanning.org/?search=2015-011574PRJ,"2015-011574ENV,2015-011574VAR",,,,,200,199,1,100%,0,46,32,99,22,0,0,9,1,2bd,199,0,0,0,0,0,0,199,0,0,0,0,0,0,0,37.796996643447798,-122.409405352071,"(37.7969966434478, -122.409405352071)"
2013-046,(2) Predevelopment Feasibility,1950 Mission,1950,Mission,St,94103,1950 MISSION ST 94103,3554005,9,Mission,Mission,MOHCD,Multifamily,New Construction,Rental,07/01/2017,,,06/01/2019,BRIDGE Housing Corporation,Mission Housing Development Corporation,1950 Mission Associates LLC,201609218371,2016-001514PRJ,http://propertymap.sfplanning.org/?search=2016-001514PRJ,"2016-001514CUA,2016-001514ENV,2016-001514PPA",,,,,157,156,1,99%,0,32,36,73,15,0,0,0,1,3bd,124,0,0,32,0,0,0,0,0,156,0,0,0,0,0,37.765846244588701,-122.42020777392401,"(37.7658462445887, -122.420207773924)"
2013-047,(5) First Construction Document Issued,3850 18th,3850,18th,St,94114,3850 18TH ST 94114,3580076,8,Castro/Upper Market,Castro/Upper Market,MOHCD,RAD Phase 2,Rehabilitation,Rental,11/07/2016,,,07/01/2019,Mission Economic Development Agency,BRIDGE Housing Corporation,"Bridge Housing Ventures, Inc, MEDA Housing LLC",201510301343,2015-014726PRJ,http://propertymap.sfplanning.org/?search=2015-014726PRJ, ,,,,,107,106,1,99%,0,88,18,0,0,0,0,11,1,1bd,0,106,0,0,0,0,0,106,0,0,0,0,0,0,0,37.761612148156203,-122.42958767489699,"(37.7616121481562, -122.429587674897)"
2013-048,(5) First Construction Document Issued,Ping Yuen,895,Pacific,Ave,94133,895 PACIFIC AVE 94133,0179021,3,Chinatown,Chinatown,MOHCD,RAD Phase 2,Rehabilitation,Rental,11/30/2016,,,01/05/2019,Chinatown Community Development Center,,"Ping Yuen, LP",201510270842,2015-014710PRJ,http://propertymap.sfplanning.org/?search=2015-014710PRJ, ,,,,,234,233,1,100%,0,0,46,91,75,21,0,14,1,2bd,233,0,0,0,0,0,0,233,0,0,0,0,0,0,0,37.796297406502198,-122.409574307209,"(37.7962974065022, -122.409574307209)"
2013-049,(5) First Construction Document Issued,1601 Larkin ,1601,Larkin,St,94109,"1601 LARKIN ST, SAN FRANCISCO, CA 94109",0620006,3,Nob Hill,Russian Hill,MOHCD,Inclusionary,New Construction,Unknown,,04/30/2014,09/05/2014,02/27/2016,,,,,2013.0890,http://propertymap.sfplanning.org/?search=2013.0890,"2013.0890C,2013.0890V",10/03/2013,Fee Payment ,2013-J801806,12/06/2013,27,0,27,0%,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.792778730119601,-122.41976349054001,"(37.7927787301196, -122.41976349054)"
2013-050,(5) First Construction Document Issued,555 Fulton ,555,Fulton,St,94118,"746 LAGUNA ST, SAN FRANCISCO, CA 94102",0794058,5,Western Addition,Hayes Valley,MOHCD,Inclusionary,New Construction,Ownership,,03/26/2014,07/28/2014,01/19/2016,"Fulton Street Ventures, LLC",,,,2013.0063,http://propertymap.sfplanning.org/?search=2013.0063,"2013.0063C,2013.0063Q,2013.0063S,2013.0063T",10/03/2013,On-site BMR Project ,2015-K126436,08/31/2015,139,17,122,12%,0,0,0,0,0,0,0,0,0,,17,0,0,0,0,0,0,0,0,0,0,17,0,0,0,37.778159243738003,-122.425832395412,"(37.778159243738, -122.425832395412)"
2013-052,(2) Predevelopment Feasibility,88 Broadway Family,88,Broadway,,94111,Planning address not yet assigned,0140007,3,North Beach,Financial District/South Beach,MOHCD,Multifamily,New Construction,Rental,10/01/2017,,,10/01/2019,BRIDGE Housing Corporation,John Stewart Company,Entity to be formed,,Not Yet Available,,,,,,,130,129,1,99%,0,13,41,58,17,0,0,0,1,3bd,103,0,0,26,0,0,0,0,0,111,12,0,0,6,0,37.799260127645098,-122.399617949234,"(37.7992601276451, -122.399617949234)"
2013-053,(2) Predevelopment Feasibility,88 Broadway Senior,735,Davis ,St,94111,Planning address not yet assigned,0140008,3,North Beach,Financial District/South Beach,MOHCD,Multifamily,New Construction,Rental,10/01/2017,,,10/01/2019,BRIDGE Housing Corporation,John Stewart Company,Entity to be formed,,Not Yet Available,,,,,,,52,51,1,98%,0,17,33,1,0,0,0,0,1,2bd,0,40,0,11,0,0,0,0,0,44,7,0,0,0,0,37.799211902059,-122.399125155029,"(37.799211902059, -122.399125155029)"
2013-054,(5) First Construction Document Issued,Canon Kip Community House,705,Natoma,St,94103,Not Applicable,3728007,6,South of Market,South of Market,MOHCD,Multifamily,Rehabilitation,Rental,11/01/2016,,,07/01/2018,Episcopal Community Services,Mercy Housing California,"Canon Kip Associates II, LP",201507131250,Not Applicable,,,,,,,104,103,1,99%,0,103,0,0,0,0,0,0,1,1bd,0,0,0,103,0,0,0,21,0,82,0,0,0,0,0,37.776324677494301,-122.412309402365,"(37.7763246774943, -122.412309402365)"
2013-055,(5) First Construction Document Issued,2353 Lombard ,2353,Lombard,St,94123,"2353 LOMBARD ST, SAN FRANCISCO, CA 94123",0512061,2,Marina,Marina,MOHCD,Inclusionary,New Construction,Unknown,,,02/06/2015,07/30/2016,,,,201401297354,2009.1177,http://propertymap.sfplanning.org/?search=2009.1177,"2009.1177C,2009.1177E,2009.1177S,2009.1177V",12/19/2013,Fee Payment ,2014-J831343,01/28/2014,21,0,21,0%,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.799056206617003,-122.440030156188,"(37.799056206617, -122.440030156188)"
2014-001,(2) Predevelopment Feasibility,534 Natoma,534-536,Natoma,St,94103,534 NATOMA ST 94103,3726063,6,South of Market,South of Market,MOHCD,Small Sites,Rehabilitation,Rental,04/01/2016,,,11/01/2016,San Francisco Community Land Trust,,San Francisco Community Land Trust,201502128193,2015-001595PRJ,http://propertymap.sfplanning.org/?search=2015-001595PRJ,2015-001595VAR,,,,,4,4,0,100%,0,0,4,0,0,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,37.779637703300303,-122.408644061309,"(37.7796377033003, -122.408644061309)"
2014-002,(2) Predevelopment Feasibility,Mission Bay South 6 East,626,Mission Bay Blvd North,,94158,Not Applicable,8711021,6,South of Market,Mission Bay,OCII,Mission Bay,New Construction,Rental,08/01/2016,,,07/01/2018,Tenderloin Neighborhood Development Corporation,,"1300 Fourth Street Associates, LP",,Not Applicable,,,,,,,143,142,1,99%,0,0,53,46,43,0,0,0,1,2bd,114,0,0,28,0,6,23,113,0,0,0,0,0,0,0,37.771401961281597,-122.391771646724,"(37.7714019612816, -122.391771646724)"
2014-003,(5) First Construction Document Issued,Transbay Block 8,250,Fremont,St,94105,Not Applicable,3737040,6,Financial District,Financial District/South Beach,OCII,Inclusionary-OCII,New Construction,Rental,,,,,Related California,Tenderloin Neighborhood Development Corporation,,,Not Applicable,,,,,,,546,70,476,13%,0,20,32,18,0,0,0,0,0,,70,0,0,0,0,0,0,70,0,0,0,0,0,0,0,37.787902319826102,-122.39435988619501,"(37.7879023198261, -122.394359886195)"
2014-004,(6) Complete,270-280 Brighton,280,Brighton,St,94112,"270 BRIGHTON AV, SAN FRANCISCO, CA 94112",6944061,7,Ocean View,Oceanview/Merced/Ingleside,MOHCD,Inclusionary,New Construction,Rental,,,10/27/2014,04/19/2016,SST Investments LLC,,,201308305729,2013.0083,http://propertymap.sfplanning.org/?search=2013.0083,"2013.0083E,2013.0083E_3,2013.0083Q,2013.0083S,2013.0083U,2013.0083V",02/07/2014,On-site BMR Project ,2014-J957506,10/02/2014,29,3,26,10%,0,0,0,0,0,0,0,0,0,,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,37.723292567537001,-122.454876791654,"(37.723292567537, -122.454876791654)"
2014-005,(6) Complete,832 Sutter ,832,Sutter,St,94109, ,0281003,3,Downtown/Civic Center,Nob Hill,MOHCD,Inclusionary,New Construction,Ownership,,,01/28/2015,07/21/2016,Ed and Margaret Duffy,,,,2007.0392,http://propertymap.sfplanning.org/?search=2007.0392,"2007.0392C,2007.0392E,2007.0392E_3,2007.0392K,2007.0392V",02/27/2014,On-site BMR Project ,2015-K137493,09/25/2015,20,2,18,10%,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,37.788800854521703,-122.41420385318,"(37.7888008545217, -122.41420385318)"
2014-006,(4) Site Work Permit Issued,2601 Van Ness ,2601,Van Ness,Ave,94109,"2601 VAN NESS AV, SAN FRANCISCO, CA 94109",0522002A,2,Marina,Marina,MOHCD,Inclusionary,New Construction,Unknown,,04/04/2016,,,"Van Ness Terraces, LLC",,,201406269575,2013.1177,http://propertymap.sfplanning.org/?search=2013.1177,"2013.1177C,2013.1177E,2013.1177V",03/13/2014,Fee Payment ,2014-J860341,04/04/2014,27,0,27,0%,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.799662489687002,-122.42461667389701,"(37.799662489687, -122.424616673897)"
2014-007,(5) First Construction Document Issued,O'Farrell Towers,477,O'Farrell,St,94102,Not Applicable,0324024,6,Downtown/Civic Center,Tenderloin,MOHCD,Multifamily,Rehabilitation,Rental,12/15/2015,,,08/01/2016,Tenderloin Neighborhood Development Corporation,,"O'Farrell Senior Housing, Inc.",201402148536,Not Applicable,,,,,,,101,100,1,99%,0,0,100,0,0,0,0,0,1,1bd,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,37.7855986404821,-122.412423243166,"(37.7855986404821, -122.412423243166)"
2014-008,(2) Predevelopment Feasibility,Transbay Block 1 (Affordable Project),160,Folsom,St,94105,Not Applicable,3740030,6,Financial District,Financial District/South Beach,OCII,Transbay,New Construction,Ownership,11/01/2016,,,11/01/2018,Tishman Speyer,,"Block One Property Holder, LP",201406259481,Not Applicable,,,,,,,391,156,235,40%,0,0,72,64,20,0,0,0,0,,156,0,0,0,0,0,0,0,0,0,0,0,76,80,0,37.7899816042381,-122.391730222711,"(37.7899816042381, -122.391730222711)"
2014-009,(5) First Construction Document Issued,2198 Market ,2198,Market,St,94114,"2198 MARKET ST, SAN FRANCISCO, CA 94114",3542061,8,Castro/Upper Market,Castro/Upper Market,MOHCD,Inclusionary,New Construction,Rental,,10/24/2014,02/20/2015,08/13/2016,"Greystar GP II, LLC",,,201312134180,2012.1362,http://propertymap.sfplanning.org/?search=2012.1362,"2012.1362C,2012.1362E,2012.1362E_3,2012.1362S,2012.1362U,2012.1362V",04/24/2014,On-site BMR Project ,2016-K306385,08/16/2016,87,10,77,11%,0,0,0,0,0,0,0,0,0,,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,37.766526710488598,-122.430768500456,"(37.7665267104886, -122.430768500456)"
